Topic,Representative_Docs
20,"서울시의회 보건복지위원회 강석주 위원장(국민의힘 강서2)과 보건복지위원회 위원들은 ‘강남 학원가 마약 음료 사건’ 등 시민들의 일상에 파고든 마약 문제의 심각성을 인식, 발 빠른 현장 방문과 전문성 있는 질의 및 대안 제시로 ‘서울시 마약류 관리 종합대책’을 선도했다.
지난달 19일 서울시의회 보건복지위원회는 ‘서울시 보건환경연구원(이하 ’연구원‘)’을.."
20,"국민의힘과 정부가 ‘마약과의 전쟁’을 선포했다. 
 
당정은 26일 국회에서 ‘마약류 관리 종합대책’ 관련 당정협의를 갖고 마약류 관리를 총괄하는 컨트롤타워를 설치하고, 검찰과 경찰을 중심으로 특별수사팀을 꾸리기로 결정했다. 윤석열 대통령이 마약류 범죄에 대한 ‘특단의 대책’을 주문한 지 이틀 만이다. 
 
성일종 국민의힘 정책위의장은 당정협의에서 “최.."
20,"국민의힘과 정부가 ‘마약과의 전쟁’을 선포했다. 
 
당정은 26일 국회에서 ‘마약류 관리 종합대책’ 관련 당정협의를 갖고 마약류 관리를 총괄하는 컨트롤타워를 설치하고, 검찰과 경찰을 중심으로 특별수사팀을 꾸리기로 결정했다. 
 
윤석열 대통령이 마약류 범죄에 대한 ‘특단의 대책’을 주문한 지 이틀 만이다. 
 
 성일종 국민의힘 정책위의장은 당정협회에.."
21,"부통령 출마를 전격 철회하고 정계 은퇴를 선언한 로드리고 두테르테 필리핀 대통령이 내년 대선에 자신의 딸이 출마할 것임을 시사했다. 자신의 부통령 출마에 대한 여론이 악화하면서 우회로를 찾은 것으로 풀이된다. 
 
3일 현지 매체 ABS-CBN은 두테르테 대통령이 딸인 사라 두테르테 카르피오 다바오 시장이 대선에 출마할 것이라고 말했다고 보도했다. 
 .."
21,"내년 5월 치러지는 필리핀 대선의 경쟁 구도가 점입가경이다. 정계 은퇴를 선언한 현직 대통령은 부통령 출마 의사를 흘리고, 그의 딸은 ‘독재자 아들’의 러닝메이트로 부통령 출마를 선언했다. 국가 권력 2인자 자리를 놓고 부녀가 다투는 초유의 풍경이 벌어질 수도 있다. 이변의 연속이다.
14일 로이터통신과 현지 매체 등에 따르면 로드리고 두테르테(76) .."
21,"로드리고 두테르테 필리핀 대통령(76)이 내년 5월 열리는 대통령 선거에서 부통령에 출마하기로 했다.

필리핀 집권 여당인 필리핀민주당(PDP라반)은 8일(현지시간) 전당대회를 열고 두테르테 대통령을 내년 5월 열리는 대선의 부통령 후보로 지명했다고 필리핀 언론 인콰이어러 등이 보도했다. 두테르테 대통령은 “부통령 출마는 애국심에서 비롯된 것”이라며 “.."
21,"로드리고 두테르테 필리핀 대통령이 내년 대선에서 부통령으로 출마하겠다는 의사를 접고 정계은퇴를 선언했다. 딸인 사라 두테르테 카르피오 다바오 시장을 대통령 자리에 앉혀 자신의 권력을 사실상 장기화하려는 의도로 풀이된다. 

필리핀 매체 ABS-CBN 방송은 3일 두테르테 대통령이 전날 마닐라의 한 회견장에서 정계 은퇴를 선언한 후 딸 사라가 대선에 출마.."
21,"부통령 출마를 전격 철회하고 정계 은퇴를 선언한 로드리고 두테르테 필리핀 대통령이 내년 대선에 자신의 딸이 출마할 것임을 시사했다. 자신의 부통령 출마에 대한 여론이 악화하면서 우회로를 찾은 것으로 풀이된다. 
 
3일 현지 매체 ABS-CBN은 두테르테 대통령이 딸인 사라 두테르테 카르피오 다바오 시장이 대선에 출마할 것이라고 말했다고 보도했다. 
 .."
22,“‘퐁당’은 살인이에요.” 지난 11일 서울 강남 지역 ‘마약 중독자 회복을 위한 자조 모임’에서 만난 이재완씨(가명 25)가 말했다. 스무살 때부터 5년 가까이 마약을 하다가 끊은 이씨는 주변 남성들로부터 ‘퐁당 무용담’을 셀 수 없이 들었다. ‘퐁당’은 술잔 등에 마시는 사람 몰래 마약을 빠뜨리는 행위를 일컫는다. “요즘 필로폰이 워낙 많아지니 ‘몰..
22,니코틴을 섞은 특수 용액 증기를 마시는 액상형 전자담배는 ‘건강에 덜 나쁘다’는 인식이 있다. 담배에 불을 붙이거나 가열하는 궐련 궐련형 전자담배보다 낫다는 주장이다. 일각에선 ‘금연 보조제’라고까지 한다. 현재 인터넷과 오프라인에 수백종의 액상 제품이 범람해 청소년층의 구매를 막기 힘든 수준까지 갔다. ‘향이 난다’ ‘포장이 예쁘다’ 등 이유로 젊은 ..
22,"“이 얘기를 꺼내기까지 40년이 걸렸습니다.” 
지난 5일 오전 경기도 남양주에 위치한 단독주택의 방 한 켠. 약물 중독 경험자 10명이 테이블에 둘러 앉자, 김태영(가명)씨가 조심스레 입을 뗐다. 어린 시절 동성으로부터 성추행을 당한 김씨는 괴로움을 잊기 위해 마약에 손을 대기 시작해 34년을 빠져 살았다. 그 중 28년은 교도소에서 보냈다. 김씨는 .."
22,"필로폰 0.03ｇ, 대마 한 모금, 엑스터시 한 알, 펜타닐 패치  . “한번쯤은 문제 없겠지”라는 생각으로 빨아들인 마약에 인생을 송두리째 빼앗겼다. 펑펑 울음이 날 정도로 고통스러웠던 단약의 과정을 지나 회복기에 접어든 이들이 중독자들에게 꼭 해주고 싶은 말이 있다. 지옥처럼 힘들지만 반드시 제자리로 돌아올 수 있다는 것.

지난 16일 인천 미추.."
22,"(3) 중독자들, 회복상담사를 꿈꾸다



필로폰 0.03g, 대마 한 모금, 엑스터시 한 알, 펜타닐 패치 . ‘한번쯤은 괜찮겠지’라는 생각으로 빨아들인 마약에 인생을 송두리째 빼앗겼다. 눈물을 펑펑 쏟을 정도로 고통스러웠던 단약의 과정을 지나 회복기에 접어든 이들이 중독자들에게 꼭 해주고 싶은 말이 있다. 지옥처럼 힘들지만 반드시 제자리로 돌아올 수.."
23,"행정안전부 내 경찰국 신설에 반발해 30일 충남 아산 경찰인재개발원에서 열기로 한 ‘14만 전체 경찰회의’가 취소됐다. ‘경찰국 설치’를 놓고 전면전 양상으로 번지던 정부와 일선 경찰 간 갈등이 진정 국면으로 접어드는 모양새다. 이상민 행정안전부 장관도 “다행스럽게 생각한다”고 밝혔다. 다만 일각에선 소규모 회의라도 강행하겠다는 의지를 보이고 있다. 
.."
23,"행정안전부 내 경찰국 신설에 반발해 30일 열릴 예정이었던 ‘14만 전체 경찰회의’가 제안 하루 만에 취소됐다. 일각에선 소규모 회의라도 강행한다는 의지를 보이고 있으나, 일선 경찰과 정부의 갈등은 진정 국면으로 접어드는 모양새다. 특히 26일 경찰국 신설안이 담긴 대통령령(시행령)이 국무회의를 통과하면서 경찰 회의를 주도하던 주요 경찰관들이 “더는 장.."
23,"일선 경찰들이 행정안전부 내 경찰국 신설에 반발해 30일 열려던 ‘14만 전체 경찰 회의’를 취소했다. 행안부 시행령이 국무회의를 통과해 다음달 2일 시행을 앞둔 만큼 국회로 공을 넘겨 입법으로 문제를 풀 수밖에 없다고 판단했다. 정부와 경찰, 경찰 지휘부와 일선 경찰 간 정면충돌 양상으로 치닫던 ‘경란’은 소강 국면에 접어들었다. 일부 경찰은 소규모 .."
23,행정안전부 내 경찰국 신설에 반발해 일선 경찰들이 30일 개최하기로 했던 ‘14만 전체 경찰회의’가 취소됐다. 전체 회의가 집단행동으로 비춰질 경우 국민적 반감을 살 수 있다는 경찰 안팎의 우려를 의식한 것으로 보인다. 이에 따라 경찰국 설치를 둘러싼 정부와 일선 경찰의 갈등은 사실상 수습 국면에 접어든 모양새다. 다만 경찰 일부의 ‘항전’ 의지가 여전..
23,"행정안전부 내 경찰국 신설에 반발해 30일 예고됐던 ‘14만 전체 경찰회의’ 제안자가 27일 행사 추진을 철회하겠다고 밝혔다. 이로써 ‘경찰국 설치’를 놓고 전면전 양상으로 번지던 정부와 일선 경찰 간 갈등이 진정 국면으로 접어드는 모양새다. 
 
 처음 14만 경찰회의를 제안했던 서울 광진경찰서 김성종 경감은 27일 내부망에 “경찰회의를 자진 철회한다.."
24,"배우 이상보가 마약 누명을 썼을 당시를 언급했다. 
 
 지난 22일 방송된 채널S ‘진격의 언니들’에 출연한 이상보는 “앞으로 출연하게 될 작품이 밝은 작품인데 대중이 받아들일 수 있을까 싶다”라고 말문을 열었다. 
 
 이상보는 “지난 추석 때 신경안정제를 먹고 집 앞에 뭘 사러 갔다가 누군가의 신고로 긴급체포가 됐다”며 “신경정신과 약을 먹은 상태.."
24,"전두환 일가의 비리를 폭로한 전두환 전 대통령의 손자 전우원씨의 호흡이 일시적으로 멎었다가 돌아왔다는 소식이 전해졌다. 
 
17일 전 전 대통령의 차남이자 전씨의 부친인 전재용씨가 전도사로 있는 ‘우리들교회’ 공식 홈페이지에는 “전재용 전도사님 아들 우원이를 위해 기도해 달라”는 제목의 글이 올라왔다. 
 
작성자는 “전재용 전도사님 아들 우원이가 병.."
24,"고(故) 전두환 전 대통령의 손자 우원(27)씨. 유튜브 갈무리 
 고(故) 전두환 전 대통령의 손자 우원(27)씨가 가족 비리를 연일 폭로해 논란이 일고 있는 가운데, 유튜브 라이브 방송 도중 마약을 먹겠다고 말한 뒤 투약하는 듯한 장면을 공개했다. 이후 상황은 알려지지 않고 있다. 
 
 우원씨는 17일 새벽 5시쯤 자신의 SNS 계정을 통해 <마약.."
24,"마약 투약 혐의로 긴급 체포됐다가 무혐의 처분을 받은 배우 이상보가 ‘마약 배우’ 누명을 썼던 사건을 언급하며 “앞으로 출연하게 될 작품이 밝은 작품인데 대중이 받아들일 수 있을까 싶다”고 토로했다. 
 
지난 22일 방송된 채널S ‘진격의 언니들’에 출연한 이상보는 “지난 추석 때 신경안정제를 먹고 집 앞에 뭘 사러 갔다가 누군가의 신고로 긴급체포가 .."
24,전두환 일가의 비리를 연일 폭로하고 있는 전두환 전 대통령의 손자 전우원(27)씨가 유튜브 라이브 방송을 통해 마약 투약 사실을 공개하며 카메라 앞에서 직접 여러 마약을 투약하는 장면을 보여 논란이 일고 있다. 전씨는 알약 형태의 약들을 복용한 뒤 실제 몸을 부르르 떨거나 “고통스럽다”고 흐느끼는 등 환각 증상을 보였다. 이후 미국 경찰로 추정되는 외부..
25,"■ Why - 왜 사이비 종교에 빠지나



교주 믿으면 천국, 불신은 지옥 주입식 학습에 마약처럼 중독

무당처럼 예언하고 치유 쇼 ‘영적능력’ 있는척 신도 속이기도

충성도로 서열 매기는 시스템 맹신을 ‘순결한 믿음’이라 착각



범죄도 ‘신의 뜻’ 인지부조화 “지속적 상담통해 진실 알려야”“현재 우리나라에 자신을 재림주(再臨主)로 자처하는 .."
25,"지난 3일 공개된 넷플릭스 새 다큐멘터리 <나는 신이다: 신이 배신한 사람들>(이하 ‘나는 신이다’)은 ‘사이비 종교’에 낚일 경우 금전적 손실과 성범죄에 노출돼 인생을 망칠 수 있다는 것을 여실히 보여주었다. ‘나는 신이다’가 사이비 종교 공습경보인 셈이다. 

하지만 사이비 종교는 악마의 얼굴을 하고 있지 않다. 신앙인들이 가장 환호하는 메시아나 신.."
25,"지난 3일 공개된 넷플릭스 새 다큐멘터리 <나는 신이다: 신이 배신한 사람들>(이하 ‘나는 신이다’)은 ‘사이비 종교’에 낚일 경우 금전적 손실과 성범죄에 노출돼 인생을 망칠 수 있다는 것을 여실히 보여주었다. ‘나는 신이다’가 사이비 종교 공습경보인 셈이다. 

 하지만 사이비 종교는 악마의 얼굴을 하고 있지 않다. 신앙인들이 가장 환호하는 메시아나 .."
25,“사드락과 메삭과 아벳느고가 왕에게 대답하여 이르되 느부갓네살이여 우리가 이 일에 대하여 왕에게 대답할 필요가 없나이다 왕이여 우리가 섬기는 하나님이 계시다면 우리를 맹렬히 타는 풀무불 가운데에서 능히 건져내시겠고 왕의 손에서도 건져내시리이다 그렇게 하지 아니하실지라도 왕이여 우리가 왕의 신들을 섬기지도 아니하고 왕이 세우신 금 신상에게 절하지도 아니할..
25,"팀 켈러, 하나님을 말하다 
 
 
이 책은 팀 켈러를 ‘21세기 C S 루이스’로서 각인시킨 대표서라 할 수 있다. 켈러 목사는 책에서 기독교의 하나님을 믿는 신앙이 실제로 얼마나 타당하고 합리적인지 설명하려고 했다. 그는 적대감이 아니라 상대를 사랑하는 마음으로 그의 주장을 펼쳤으며 신사적이고 우호적인 태도로 논증했다. 
 
켈러 목사는 세속적 무신.."
26,"해외 소셜네트워크서비스(SNS)인 텔레그램에서 ‘마약왕’으로 통하는 박모(45)씨가 필리핀 교도소에 수감 상태 중에도 국내에 다량의 마약류를 공급한 것으로 의심되는 정황이 포착됐다.
경남경찰청 마약범죄수사계는 마약류관리법 위반 혐의(향정매매)로 20대 A씨 등 3명을 구속했다고 지난 13일 밝혔다.
A씨 등 3명은 지난 1월부터 2월 사이 엑스터시(10.."
26,"마약 관련 범죄를 저지르고 필리핀으로 달아났던 조직폭력배가 현지에서 붙잡혀 수감된 상태에서도 국내에 필로폰 등을 유통해오다 적발됐다. 
 
경기남부경찰청 강력범죄수사대는 마약류 관리에 관한 법률 위반 혐의로 수도권 지역 조폭 출신 40대 A씨를 형사 입건하는 등 유통 판매책 25명과 매수 투약자 33명 등 모두 58명을 검거했다고 19일 밝혔다. 경찰은.."
26,"━
 ‘마약왕 전세계’ 감옥서도 마약 판 혐의 
 경찰이 필리핀 감옥에서 복역 중인 ‘텔레그램 마약왕’ 박왕열(45)관련 또 다른 마약범죄 혐의를 포착하고 수사에 착수했다. 박왕열은 ‘필리핀 사탕수수밭 한국인 3명 살인사건’으로 장기 60년형을 선고받고 필리핀에서 수감 중이다. 
 
 9일 경찰 등에 따르면 경남경찰청은 박왕열이 필리핀 감옥에서 마약류를.."
26,경찰이 필리핀 감옥에서 복역 중인 ‘텔레그램 마약왕’ 박왕열(45) 관련 또 다른 마약범죄 혐의를 포착하고 수사에 착수했다. 박왕열은 ‘필리핀 사탕수수밭 한국인 3명 살인사건’으로 장기 60년형을 선고받고 필리핀에서 수감 중이다. 9일 경찰 등에 따르면 경남경찰청은 박왕열이 필리핀 감옥에서 마약류를 한국에 유입시킨 혐의를 포착해 수사 중이다. 감옥에서도..
26,"사회관계망서비스(SNS) 텔레그램 아이디 ‘마약왕 전세계’로 알려진 해외 마약류 국내 유통 총책 일명 ‘마약왕’ 박왕열이 필리핀 감옥에 수감 중에도 국내 판매책들과 접촉해 국내에 마약류를 유통시킨 것으로 드러나 경찰이 집중 수사 중에 있다. 
 
 경찰은 이를 위해 법무부 등 관련 기관에 박왕열의 국내 송환을 요청했다. 
 
 ‘마약왕’ 박왕열이 필리핀.."
27,"경상북도의회 박영서 부의장은 지난 30일 날로 심각해지고 있는 마약범죄 예방을 위한 ‘NO EXIT’ 캠페인에 동참했다.
‘NO EXIT’ 캠페인은 경찰청과 한국마약퇴치본부가 마약범죄 예방을 위한 국민 의지를 확산시키기 위해 연말까지 이어나가는 릴레이 캠페인이다.
박 부의장은 ‘출구 없는 미로, NO EXIT, 마약 절대 시작하지 마세요’라는 문구가 적.."
27,"경찰청이 마약범죄 예방을 위해 마약퇴치운동본부와 공동으로 연말까지 ‘NO EXIT(출구가 없다)’ 릴레이 캠페인을 진행한다. ‘출구 없는 미로, NO EXIT, 마약 절대 시작하지 마세요’라는 문구가 담긴 캠페인 이미지와 함께 인증사진을 찍어 사회관계망서비스(SNS)에 올린 후 다음 참여자 2명을 지목하는 방식이다. 지목받지 않았더라도 누구나 자발적으로.."
27,"의정부=김현수 기자

가톨릭대학교 의정부성모병원은 한창희 병원장이 마약 범죄 근절을 위한 ‘NO EXIT’ 마약 예방 캠페인에 참여했다고 9일 밝혔다.



‘NO EXIT’ 캠페인은 지난달 26일부터 연말까지 경찰청에서 마약 범죄 근절을 위해 진행하는 릴레이 형식의 캠페인이다. 참여 방법은 ‘마약은 출구 없는 미로’라는 뜻의 ‘노 엑시트(NO EXIT.."
27,"국내에서도 사회적 문제로 떠오른 마약 범죄를 사전 차단하기 위해 전남 주요 지도층들이 ‘마약범죄 예방’ 릴레이 캠페인 운동을 벌이고 있다.
‘마약 예방 릴레이 캠페인’은 경찰청과 한국마약퇴치운동본부가 공동으로 마약 범죄에 대한 경각심을 알리고 예방하기 위한 사회적 분위기 확산을 목적으로 진행되고 있다. 경찰청 명예 치안감인 원로배우 최불암 씨가 첫 주자.."
27,"정용근 대전경찰청장이 마약범죄 예방을 위한 캠페인에 동참했다.

대전경찰청은 정 청장이 2일 대전경찰청에서 마약범죄 예방을 위한 ‘NO EXIT’ 릴레이 캠페인에 참여했다고 밝혔다.

정 청장은 ‘출구 없는 미로, 마약, 절대 시작하지 마세요’ 문구가 담긴 캠페인 인증사진을 사회관계망서비스(SNS)에 올렸다. 다음 캠페인 참여 주자로 이장우 대전시장과 .."
28,"이른바 ‘좀비 마약’으로 불리는 마약성 진통제 펜타닐 패치 수천장을 불법으로 처방해 준 의사가 구속기소됐다. 무분별한 펜타닐 처방으로 의사가 구속된 사례는 처음이다.
서울중앙지검 마약범죄특별수사팀(팀장 신준호)은 가정의학과 의사 신모(59)씨를 마약류관리법 위반 등 혐의로 구속기소, 정형외과 의사 임모(42)씨를 불구속기소했다고 27일 밝혔다. 펜타닐 .."
28,"이른바 ‘좀비 마약’으로 불리는 마약성 진통제 펜타닐 패치 수천장을 불법으로 처방해준 의사가 구속기소 됐다. 무분별한 펜타닐 처방으로 의사가 구속된 사례는 처음이다.
서울중앙지검 마약범죄특별수사팀(팀장 신준호)은 가정의학과 의사 신모(59)씨를 마약류관리법 위반 등 혐의로 구속기소, 정형외과 의사 임모(42)씨를 불구속기소 했다고 27일 밝혔다. 펜타닐.."
28,"이른바 '좀비 마약'으로 불리는 마약성 진통제 펜타닐 패치 수천장을 불법 처방해준 의사들이 재판에 넘겨졌다. 
 
 서울중앙지검 마약범죄특별수사팀(팀장 신준호 강력범죄수사부장)은 27일 마약 중독자에게 펜타닐 패치 4천여장을 처방해준 가정의학과 의사 신모(59)씨를 구속기소하고, 같은 중독자에게 패치 600여장을 처방해준 정형외과 의사 임모(42)씨를 .."
28,"환자를 직접 진찰하지 않은 채 환자의 말만 듣고 ‘펜타닐 패치’ 수천장을 처방한 의사가 재판에 넘겨졌다. 펜타닐은 말기 암환자 등 극심한 통증자에게 사용하는 마약성 진통제인데 이에 중독된 사람들이 길거리에 늘어져 있다고 해 ‘좀비 마약’으로 불린다. 검찰이 펜타닐 패치를 무분별하게 처방한 혐의로 의사를 구속 기소한 것은 이번이 처음이다.

서울중앙지검 .."
28,"환자를 직접 진찰하지 않고 환자의 말만 듣고는 ‘펜타닐 패치’ 수천장을 처방한 의사가 재판에 넘겨졌다. 펜타닐은 말기 암환자 등 극심한 통증자에게 사용하는 마약성 진통제인데 이에 중독된 사람들이 길거리에 늘어져있다고 해 ‘좀비 마약’으로 불린다. 검찰이 펜타닐 패치를 무분별하게 처방한 혐의로 의사를 구속기소한 것은 이번이 처음이다.

서울중앙지검 마약범.."
29,"서울 강남의 한 유흥주점에서 술을 마신 종업원과 손님이 사망한 사건이 발생했다. 경찰은 이들이 마신 술에 마약류로 의심되는 물질이 들어 있던 것으로 보고 정확한 사망 경위를 수사하고 있다.

서울 강남경찰서는 지난 5일 새벽 강남 한 유흥주점에서 30대 여성 종업원 A씨와 20대 남성 B씨가 사망한 사건을 수사 중이라고 6일 밝혔다. 

A씨는 사건 당.."
29,"경찰이 ‘강남 유흥주점 사망사건’과 관련, 마약 유통책에 대해 구속영장을 신청했다.



서울 강남경찰서는 마약류 관리에 관한 법률 위반 혐의로 마약 유통책 50대 A 씨 등 4명에 대한 구속영장을 신청했다고 29일 밝혔다.



경찰에 따르면, 전날 경찰에 붙잡힌 A 씨는 이달 5일 강남 유흥주점에서 필로폰(메스암페타민)으로 의심되는 마약을 투약하고,.."
29,"여종업원이 사망하는 사건이 발생한 서울 강남의 유흥업소 입구에 지난 6일 마약 사용을 금지하는 경고문이 붙어있다. 뉴스1 
 강남 유흥주점에서 손님이 건넨 술을 마신 종업원이 숨진 사건을 경찰이 수사중인 가운데, 해당 손님의 차량에서 발견된 마약 물질은 약 2000명이 투약할 수 있는 분량인 것으로 확인됐다. 
 
 경찰은 이 사건의 핵심 인물인 20대.."
29,"경찰이 '강남 유흥주점 사망사건'과 관련 있는 마약 유통책 등의 구속영장을 신청했다. 
 
 서울 강남경찰서는 마약류 관리에 관한 법률 위반 혐의로 마약 유통책인 50대 A씨 등 4명에 대한 구속영장을 신청했다고 29일 밝혔다. 
 사진=뉴시스 구속 전 피의자 심문(영장실질심사) 일정은 아직 잡히지 않았다. 
 
 전날 경찰에 붙잡힌 A씨는 이달 5일 .."
29,"‘강남 유흥주점 사망사건’과 관련해 마약 유통책 4명이 구속됐다. 
 
 서울중앙지법 양환승 부장판사는 30일 구속 전 피의자 심문(영장실질심사)에서 “도주의 우려가 있다”며 피의자 4명에 대한 구속영장을 발부했다. 
 
 강남 유흥업소 사망 사건과 연루된 마약 공급책 및 유통책 등이 30일 오전 서울 서초구 서울중앙지방법원에서 열린 구속 전 피의자 심.."
30,"사진=게티이미지뱅크 앞으로 음주 무면허 운전으로 사고를 내거나 뺑소니 사고를 내면 보험 혜택을 거의 받지 못한다. 마약 약물을 복용한 상태에서 사고를 낸 운전자 역시 마찬가지다. 수억원대에 이르는 사고부담금을 고스란히 본인이 내야하므로 중대 법규를 위반할 경우 ‘패가망신’할 각오를 해야한다. 
 
 국토부는 오는 28일 이 같은 내용을 담은 새 ‘자동차.."
30,"새 자동차손해배상 보장법 28일 시행 신규 갱신 계약부터 적용

사고부담금 확대 사망사고 1건당 1000만 원→사망 1인당 최대 1억5000만 원

앞으로 음주운전이나 무면허 뺑소니 사고를 내면 사실상 보험 혜택을 받지 못하는 수준의 높은 사고 부담금이 부과된다.



마약 약물 복용 상태서 사고를 낸 운전자 역시 마찬가지로 이들 운전자는 패가망신을 각.."
30,"오는 28일부터 자동차 보험에 가입한 운전자가 음주운전이나 무면허, 뺑소니 사고를 내면 보험 혜택을 거의 받지 못하게 된다. 
 
국토교통부는 마약 약물, 음주, 무면허, 뺑소니 사고를 낸 운전자가 의무보험 한도 내에서 피해자에게 지급된 보험금 전액을 사고부담금으로 부담하게 하는 자동차손해배상 보장법 개정안이 시행된다고 24일 밝혔다. 사고부담금은 사고.."
30,"28일 이후 자동차 보험에 가입한 운전자는 술을 마시거나 마약 약물을 흡입한 뒤 차를 몰다 사고를 내면 의무보험 한도 내에서 피해자에게 지급된 보험금 전액을 부담해야 한다. 
 
 이렇게 되면 경우에 따라 종전보다 수십 배 넘는 사고부담금을 물어내야 할 수도 있다. 무면허 상태로 운전하다 사고를 내거나 뺑소니 사고를 일으킨 때도 마찬가지다. 
 
 국토.."
30,"28일 이후 자동차 보험에 가입한 운전자는 술을 마시거나 마약 약물을 흡입한 뒤 차를 몰다 사고를 내면 의무보험 한도 내에서 피해자에게 지급된 보험금 전액을 부담해야 한다. 이렇게 되면 경우에 따라 종전보다 수십 배 넘는 사고부담금을 물어내야 할 수도 있다. 무면허 상태로 운전하다 사고를 내거나 뺑소니 사고를 일으킨 때도 마찬가지다. 
 
 국토교통부는.."
31,"윤석열 대통령은 9일 국무회의에서 취임 1주년 소회를 밝히며 “거야(巨野) 입법에 가로막혀 필요한 제도를 정비하기 어려웠던 점도 솔직히 있다”고 말했다. 
 
윤 대통령은 “최선을 다할 것이다. 그러나 무너진 시스템을 회복하고 체감할만한 성과를 이루기에는 시간이 필요하다”며 이같이 밝혔다. 윤 대통령이 공언한 노동 연금 교육 개혁 등 국정과제가 과반 의.."
31,"뉴시스 
 윤석열 대통령(사진 왼쪽에서 세번째)은 취임 1년을 앞둔 9일 ""대통령직에 취임한 1년 전 이맘때를 생각하면 외교 안보만큼 큰 변화가 이루어진 분야도 없다""고 자평하면서 과거 정부의 반시장적 정책으로 사회적 약자들이 전세사기 등의 고통을 받았다고 밝혔다. 또 ""거야(巨野)에 막혀 필요한 제도 정비하기 어려웠다""고도 털어놨다. 
 
 윤 대통령.."
31,"윤석열 대통령은 9일 전세 사기, 투자 사기, 마약 범죄 증가 등이 문재인 정부의 잘못된 정책에서 비롯됐다고 지적했다. 
 
윤 대통령은 이날 오전 용산 대통령실에서 국무회의를 주재, 방송 생중계로 공개된 모두발언에서 “최근 전세 사기, 주식과 가상자산에 관한 각종 투자 사기가 집단적 피해를 야기하고 있다”며 “특히 서민과 청년세대가 회복하기 어려운 피.."
31,"윤석열 대통령이 취임 1주년을 하루 앞둔 9일 “건물과 제도를 무너뜨리는 데는 시간이 걸리지 않는다. 순간이다”라며 “무너진 것을 다시 세우는 데는 엄청난 시간과 노력이 든다”고 밝혔다. “거야(巨野) 입법에 가로막혀 필요한 제도를 정비하기 어려웠던 점도 솔직히 있다”고도 했다. 전임 문재인 정부와 더불어민주당이 추진한 정책들이 최근 전세사기, 주식 가.."
31,"윤석열 대통령이 취임 1주년을 하루 앞둔 9일 “건물과 제도를 무너뜨리는 데는 시간이 걸리지 않는다. 순간이다”라며 “무너진 것을 다시 세우는 데는 엄청난 시간과 노력이 든다”고 밝혔다. “거야(巨野) 입법에 가로막혀 필요한 제도를 정비하기 어려웠던 점도 솔직히 있다”고 도 했다. 전임 문재인 정부와 더불어민주당이 추진한 정책들이 최근 전세 사기, 주식.."
32,"한동훈 법무부 장관이 “국가 전체 마약 조직범죄 대응 역량을 회복해야 한다”며 대검찰청(대검)에 가칭 ‘마약 강력부’를 조속히 설치하라고 지시했다. 
 
한 장관은 12일 법무부 주례 간부간담회에 참석해 강남 대치동 학원가에서 발생한 ‘마약 음료’ 사건을 언급하며 “마약이 일상 속으로 침투하고 있다는 것을 보여주는 사례이므로 전국적인 수사 역량을 가동할.."
32,"한동훈 법무부 장관이 검찰에 “마약 범죄 수사 컨트롤타워 역할을 맡을 대검찰청 강력부와 마약 부서 복원이 필요하다”고 지시했다. 
한 장관은 12일 오전 법무부 주례 간부 간담회에서 “최근 학원가에서 어린 학생들을 상대로 마약이 든 음료를 제공하는 등 충격적인 사건이 발생했다”며 이같이 밝혔다. 
한 장관은 문재인 정부의 수사권 조정에 따라 검찰이 마약.."
32,"한동훈 법무부 장관(사진)이 12일 마약 범죄 수사 컨트롤타워를 대검찰청에 복원하라고 지시했다. 
 
 한 장관은 이날 법무부 주례 간부 간담회에서 ""국가 전체 마약 조직범죄 대응 역량을 회복해야 한다""며 대검에 가칭 '마약 강력부'를 조속히 설치하라고 했다. 
 
 그는 서울 강남 대치동 학원가에서 발생한 '마약 음료' 사건을 두고 ""마약이 일상 속으.."
32,"전 정부서 조직범죄과로 통합



한동훈 법무부 장관(사진)이 12일 마약범죄 수사 컨트롤타워를 대검찰청에 복원하라고 지시했다.

한 장관은 이날 법무부 주례 간부간담회에서 “국가 전체의 마약 조직범죄 대응역량을 회복해야 한다”며 대검에 가칭 ‘마약 강력부’를 조속히 부활시키라고 했다.

한 장관은 최근 서울 강남 학원가에서 발생한 마약음료 사건과 관련.."
32,"한동훈 법무부 장관이 12일 마약범죄 수사 컨트롤타워를 대검찰청에 복원하라고 지시했다.

한 장관은 이날 법무부 주례 간부간담회에서 “국가 전체의 마약 조직범죄 대응역량을 회복해야 한다”며 대검에 가칭 ‘마약 강력부’를 조속히 부활시키라고 했다.

한 장관은 최근 서울 강남 학원가에서 발생한 마약음료 사건과 관련해 “마약이 일상 속으로 침투하고 있다는 .."
33,"아프가니스탄을 장악한 탈레반이 통치 자금을 마련하기 위해 마약 밀거래를 늘릴 수 있다는 우려가 제기된다. 아프간은 전 세계 아편 생산량의 약 80%를 차지하고 있고 아편 밀수는 탈레반의 최대 돈줄로 추정된다. 아프간과 국경을 접한 중국은 신경을 곤두세우고 있다. 아프간산 아편이 파키스탄과 신장위구르자치구를 통해 중국으로 유입될 수 있기 때문이다. 
 
.."
